hex_pattern,replacement
\\xa1,Ą
\\xa2,˘
\\xa3,Ł
\\xa4,¤
\\xa5,Ľ
\\xa6,Ś
\\xa7,§
\\xa8,¨
\\xa9,Š
\\xaa,Ş
\\xab,Ť
\\xac,Ź
\\xad,­
\\xae,Ž
\\xaf,Ż
\\xb0,°
\\xb1,ą
\\xb2,˛
\\xb3,ł
\\xb4,´
\\xb5,ľ
\\xb6,ś
\\xb7,ˇ
\\xb8,¸
\\xb9,š
\\xba,ş
\\xbb,ť
\\xbc,ź
\\xbd,˝
\\xbe,ž
\\xbf,ż
\\xc0,Ŕ
\\xc1,Á
\\xc2,Â
\\xc3,Ă
\\xc4,Ä
\\xc5,Ĺ
\\xc6,Ć
\\xc7,Ç
\\xc8,Č
\\xc9,É
\\xca,Ę
\\xcb,Ë
\\xcc,Ě
\\xcd,Í
\\xce,Î
\\xcf,Ď
\\xd0,Đ
\\xd1,Ń
\\xd2,Ň
\\xd3,Ó
\\xd4,Ô
\\xd5,Ő
\\xd6,Ö
\\xd7,×
\\xd8,Ř
\\xd9,Ů
\\xda,Ú
\\xdb,Ű
\\xdc,Ü
\\xdd,Ý
\\xde,Ţ
\\xdf,ß
\\xe0,ŕ
\\xe1,á
\\xe2,â
\\xe3,ă
\\xe4,ä
\\xe5,ĺ
\\xe6,ć
\\xe7,ç
\\xe8,č
\\xe9,é
\\xea,ę
\\xeb,ë
\\xec,ě
\\xed,í
\\xee,î
\\xef,ď
\\xf0,đ
\\xf1,ń
\\xf2,ň
\\xf3,ó
\\xf4,ô
\\xf5,ő
\\xf6,ö
\\xf7,÷
\\xf8,ř
\\xf9,ů
\\xfa,ú
\\xfb,ű
\\xfc,ü
\\xfd,ý
\\xfe,ţ
\\xff,˙